riversare	[10086015]
voluto	[10100963.0, 9648592, 9533778, 9396600, 9500532.0, 9886259, 9852250.0, 9500118.0, 9438997, 10080670, 9754305.0, 10323797, 9672776, 9261076, 10482087, 10314293, 10347521, 9977363, 9638171, 9431667.0, 9993467, 9704451, 9907569, 9346488, 10010129.0, 10099294, 9221257, 9458771, 10431786.0, 9238545, 9925216, 10364963, 9991272, 9672798, 9603879, 9901792, 10028896.0, 9335647, 9557611, 9499719.0, 10392147.0, 9333959.0, 10011979, 9050358.0, 9268092, 9346334, 10089703.0, 9918327, 10099768, 10322878, 10332673, 10229855, 10215120, 9936993.0, 10405155, 10006287, 10039857, 10210070, 9148556, 9059971, 10287837, 9430384, 9685270, 10200636, 9476545.0, 9321231, 9270064, 9546328.0, 9879786.0, 9736707.0, 9206900.0, 10199541.0, 9199279.0, 9416760.0, 9568992.0, 9869050.0, 10011993.0, 9608474, 9664202, 9771522.0, 9283512, 10153475.0, 9392141, 10083359.0, 9553344.0, 9333281, 9771520.0, 9653726.0, 9380874.0, 9344747, 9520674, 9057161.0, 9574357.0, 9951723, 10171348, 9334166, 9647192.0, 10017388, 9624099, 9095775, 9177101, 9887731, 10028894, 9177606, 9949130.0, 9857516, 9267917, 9387964.0, 9109959.0, 9494172, 9587763, 9255954, 9848783.0, 10080373, 9610000, 9153618, 10006179, 9745950, 9977250, 9374272, 10399566, 9353126, 9236744, 9771210, 10172873.0, 9795814.0, 9075519.0, 10115230.0, 9452038, 9754280.0, 10042630, 9450780, 9584053.0, 9478153.0, 9762008.0, 9074142, 9416761.0, 9494483, 9536601.0, 9899515.0, 9378039, 9548070, 10211997.0, 9085429, 9289928.0, 9398689.0, 10328144.0, 9798645.0, 9835574, 10183825, 10488518, 10271291, 10087208, 9423428, 9013462.0, 10013799, 9895196.0, 9180589, 9377705, 9946126.0, 9131515, 10324423, 9026008.0, 9792209, 9404028.0, 9746161, 10040610, 10474347, 9824717.0, 9220140, 9354413, 10291970, 9414974, 9115437, 9948921, 9156663.0, 9869531, 9049836, 9210051, 9076288, 9152990, 9151100, 9761068, 9266822, 10036484, 9165312, 9380733, 9144631, 9253393, 9793807, 9390627, 9392978, 9787280, 9105959, 9977256, 9333409, 9717321, 9734595, 9261489, 9653355, 9685289, 9972536, 10416736.0, 10039784, 10277428, 9036996, 10360075, 9252522, 9080659, 9768615, 9451354.0, 9292227, 9588872, 9360130.0, 9307178.0, 9751363.0, 9063512.0, 9499287, 9618411, 9344071, 9674617, 10355982, 10239193, 9096447, 10411386.0, 9307476, 10448726, 9509327.0, 9840524, 10138357, 9726222, 9482378, 10220397, 10218180, 10268325, 9183165, 9533293, 9194993, 9630222, 10092589, 9458807, 9403171, 9247342, 9527203.0, 9015714, 9703562, 9358181, 9712431, 10245926, 10249583.0, 9829965, 10366443, 9190896, 10140475, 9983780.0, 9341136, 10158176, 9501599, 10246747, 9169230, 9359011, 10072699.0, 9319757.0, 9382122.0, 10363826, 10122243, 9508655, 9613562, 10028087, 9200680, 9918935, 9280520, 9112099, 9144625, 10140454, 9357168, 9094041, 9578846, 9252371, 9090403, 9357763, 9533916, 9485234, 9459646, 9309117, 10333982.0, 9583126, 10191795, 9060390, 9181959, 9674618, 9251983, 9284975, 9031947, 10257005, 10111652, 9547499, 9174072, 9575602.0, 9725768.0, 9871732, 9539871, 9084318.0, 9809372, 9914286, 9641556, 10004523, 10088147, 9342914, 9477858, 10360435, 9927343, 10218186, 10007380, 9895112, 9459039, 10099734, 9472073, 9541134, 10391759, 10262184, 9988125, 9629561, 10420358, 10153424, 9679823, 9103550, 9828249, 9654729, 10146380, 9179119, 9338667, 9062183.0, 10209689, 9876878.0, 9717364, 9306414, 9101492, 9066286, 10053021, 9818063, 9272619, 9276010, 9908208, 9238916, 9362392, 10101795, 9579733, 9150355.0, 10306443.0, 10173796.0, 9908870.0, 10214682.0, 9698381.0, 9849218.0, 10079932.0, 9059152.0, 9742660.0, 10238137.0, 9951836.0, 9974244.0, 9588120, 9537215.0, 9771709, 9058259.0, 9182863, 10190610.0, 10023797.0, 9674255, 9871179, 9988123.0, 9212971.0, 9764241.0, 9713719.0, 9292764, 9424227, 9963221, 9570737.0, 10354582.0, 9395349.0, 10028722, 9330490, 9494482.0, 9263676.0, 9418237, 9633350.0, 9190225.0, 9550431, 10041003, 9832041, 9026041.0, 9239828.0, 10343214, 9211385, 9301001, 9164494, 10323802, 10154184.0, 9482879.0, 9475805, 9675076, 9438660, 10142525.0, 9058258, 9109386, 9457132.0, 9283243, 10450891, 9981781, 9423227, 10476105.0, 9129469.0, 10197081, 9238970, 9797259.0, 10459521.0, 9867249.0, 9608994, 9139201.0, 9030823.0, 9115488.0, 9636070.0, 10315135, 9465415.0, 10135238, 10202467.0, 9409286, 9996488, 10251052.0, 9761706.0, 10039988, 10051704, 10341424, 9282809, 9330141.0, 9545621.0, 10401282, 9969526, 9939190, 10289579.0, 10477501, 9912859, 9822418, 9457922, 9754559, 9899593, 9510740, 10485838, 9344535, 9413790, 10254138, 9091537.0, 9741086, 9609581, 9862729, 10356839, 10121417, 9888308, 10161021, 10339384, 10039986, 9649183.0, 10350234, 9221278, 9509988.0, 9929616.0, 9635859, 10299897, 9340322, 9614823, 10121295, 9842551, 9223033, 9499448, 9244087, 10486937, 9971950, 10394590.0, 9953699, 9600197, 9290110, 9917616, 10012893, 9618731, 9431911, 9136813, 9733042, 10075539, 9316834, 10040964, 10218942, 10336938]
manifesto	[10087197, 9918824.0, 10100498.0, 9206160, 10100496.0, 9135114, 9918903, 10086521, 10100986, 10101062.0, 9206173.0, 9609805]
usanza	[9829819, 9289691.0]
viso	[9949019, 9371700.0, 9371772.0, 9972074.0, 10170486, 9669308, 10305999.0, 9760103.0, 9299686, 9972075.0, 9429385.0, 9487195, 9949241.0, 10111801, 10303487.0, 9716325, 10328255.0, 9716703, 9556507, 10236300, 9662476, 9871542.0, 9771370, 10303832.0, 9490764.0, 10080261.0, 9156634.0, 9109747, 9717217.0, 10367859, 9456464.0, 9703427, 10073942.0, 10338647.0, 10060018.0, 9832693, 9915911.0, 9710042.0, 10328118, 9496922, 9083485.0, 9290948.0, 10360961, 10406392.0, 10010935, 10496484.0, 9358079, 9917565, 9790741, 9791003, 9623024.0, 9408690, 9381852, 9489385.0, 9108685, 9707827, 10460162, 10011097, 9702874.0, 10156419.0, 10089108.0, 10332648, 9168412.0, 10244397.0, 9375611.0, 10305967.0, 9498982.0, 9125384.0, 10227482.0, 10013478.0, 9126201, 9220894, 9072876.0, 9032730.0, 9125225, 9576951.0, 10419373, 9663248, 9329144, 9429358, 10232064, 10478008, 9632945.0, 9623435.0, 9277139, 9164855, 9949188.0, 9918027.0, 9416047.0, 9441895.0, 9222124, 9700138, 10442279.0, 9609716.0, 9024997.0, 10013476.0, 9337008, 10166281.0, 9174488, 9971952.0, 9125601.0, 9894742.0, 9197536.0, 9924131.0, 10073031, 10215948, 9416252, 10180430, 9664202, 9381564.0, 9082813.0, 9680025.0, 9169215.0, 9726152, 9082811.0, 9124434.0, 9663507, 9215284.0, 9991772.0, 9187979, 9125516, 9651743.0, 9789247, 9167837.0, 9125736, 9623260, 10475435.0, 9715240.0, 10407509, 9299133.0, 10155573.0, 9435665, 9453967.0, 9677856.0, 9632379.0, 9670083.0, 9289557, 9220928.0, 9872477, 10221922.0, 9207532, 9842037, 9511610.0, 9937340.0, 9032749.0, 9289992, 9313000, 9056628.0, 9836260, 9738051.0, 9072473, 9140612, 9023073, 9553175, 9923978, 9726362, 10244414.0, 9789762, 10198159, 9817462, 9989827.0, 9367755, 9894861, 10021211, 9631205, 9689201, 9922111.0, 9553797, 9784697, 10143813.0, 9118166, 10228610, 9309696, 9125728, 9703494, 10263352.0, 9895061.0, 9494968, 9200782, 9689200, 10091917.0, 9188004, 10383617, 10407446.0, 9338601, 9894484, 9709222.0, 10454712, 9397297, 9276477.0, 10262099.0, 9277140.0, 9937339.0, 9124090.0, 9113394.0, 9938679.0, 10389983.0, 9498991.0, 9339895.0, 10314843.0, 9832944, 9244402, 9837800.0, 10299264.0, 10080707, 9644768, 9498978.0, 10382415.0, 9132565, 10416829.0, 9736446, 9124074.0, 9126593, 9947229.0, 9082812, 9927049, 10330726.0, 9499001, 10259390, 9453894.0, 9622014, 9549047.0, 9017190, 9125308, 10345099, 10142151, 10421437, 9371285.0, 9558546, 9192065.0, 9491068, 9531894, 9636849.0, 9778721.0, 10013984.0, 9214974.0, 9617285, 9480839.0, 9894761, 9949244, 9941825.0, 9919922.0]
racconto	[9817223.0, 10032540.0, 9638500, 9162290, 9364994, 9717380, 10203907.0, 10312671.0, 9359330, 10243476, 9577112, 9358970, 10075561, 9179697.0, 9620356.0, 9196051, 9972320, 10468738.0, 9268442, 9437181.0, 9387645, 9990110, 9438602.0, 9575580, 10468741.0, 10138887.0, 9251104, 10172914, 9339062.0, 9209406, 9029494.0, 9041604, 10391447, 10168837, 9142120, 9348589, 9914143, 9945823, 10441781.0, 10349275, 10243923, 9716297, 9871471, 10380739, 9438474, 9438552.0, 10241809, 9200831, 10060939.0, 9365083.0, 10312669, 10391386.0, 10032378.0, 10017452, 9638499.0, 9877305, 10077158, 9590785, 9439053, 9937236, 9115357, 9140126, 9349382, 9300860, 9483845, 9807142, 10422697, 9189038, 10322468, 9357994, 10032751.0, 9435613, 9438466, 9343930, 9004892.0, 9004678.0, 10032200.0, 9756208, 9700167, 9996011.0, 9277675.0, 9438762, 10171993, 9014700.0, 10410943, 10431586.0, 10459944, 9438755, 10097480, 9238056, 9382316, 10160196, 10323401, 9804750, 9194893, 10275761, 10479377, 9789949, 9946920.0, 9819790, 10243235, 10243238, 10243464, 10243237, 9728604, 10213364]
spedizione	[10061394, 9657399.0, 9286068, 10463340.0, 10060993.0, 10058359.0, 10061014, 10440076, 9707849.0, 10468743, 10396784.0, 9267352.0, 9065571.0, 9331734.0, 9302385, 10468749.0, 10047739.0, 9438029, 9939863, 9721688.0, 9657390.0, 9120397.0, 9667090, 9267362, 9594950.0, 9084935.0, 9667113, 10334016, 10283998.0, 9596617.0, 9096102, 10116677.0, 9019326, 10466123.0, 9302374, 9732177.0, 9742090, 10061002.0, 10439837, 9596572, 9701276, 9750623, 9584128, 10424637, 9237619.0, 9667078, 9863157, 9643650, 9491491, 10116699, 9707888, 9491151.0, 10121516.0, 9437830.0, 9052279.0, 9667042.0, 9741976.0, 10382740, 9045540, 9006703.0, 9004107, 9477920.0, 9045727, 9437218, 9827810, 10421578, 9237272]
spaventare	[9928518, 10401167.0, 9019190.0, 10231051, 9463440, 9019195, 9500219, 9781223, 10070799.0, 9420466, 9293708, 9459036, 10074001, 10388103, 9868248, 9192442, 9123703, 9474772, 10240110, 9117323, 9720679, 9341137, 10192338, 10481994, 9269101, 10355830, 9050339.0, 10055913.0, 10440426]
vulcano	[10058065.0, 9766694.0, 10055924.0, 10055815.0, 9521422.0, 9420105.0, 9220467.0, 9627750, 10058602.0, 9656039.0, 9772785, 9411820, 9135395.0, 9420538, 9412075, 9420496.0, 9441615.0, 9601879.0, 10427572]
ingrediente	[9746738.0, 9341501, 9341242.0, 10448054.0, 9213528, 10264711]
universitario	[9954836.0, 9671491.0, 10173840, 9350927, 9294208.0, 10354502, 9246472]
salsiccia	[9765385.0, 10088465.0, 10476213, 10457971.0, 9993385.0, 9929045, 9679303, 9679306, 9230300.0, 9679300.0, 9679307.0, 10271414, 9679298, 9031708]
ghiacciaio	[]
concretezza	[9464744]
ridotto	[10434216.0, 9427593, 9161874.0, 10059516.0, 9569691.0, 10010383.0, 10014538.0, 9106614.0, 9123414.0, 10059720.0, 10132461.0, 10438496, 9829907, 10216225, 9923088.0, 10045615, 10336112.0, 9867017.0, 10156419.0, 10436211.0, 9695143.0, 9052120.0, 9373306, 10446126.0, 9218387.0, 10045775, 9894481.0, 9427781, 10250501.0, 10439447.0, 9342450.0, 9953400, 10423001.0, 9792995.0, 9882601.0, 9373575, 9439103.0, 10164388, 9045092.0, 9353327.0, 10409008.0, 9852656.0, 9438565.0, 10360376.0, 9799015.0, 9722661, 9191988.0, 9995028, 9396956, 10249359.0, 10363842.0, 9794977.0, 9600492, 9789027, 9578367, 9221478, 9838665.0, 9771653.0, 9921777.0, 9985839, 9530776.0, 9352576.0, 9782744.0, 9814990.0, 10297696.0, 9888560.0, 10059829, 9254015, 10470418.0, 9252913, 9252914, 10090630, 9838736.0, 10416724.0, 9670131, 9780457.0, 9174972.0, 10410869.0, 9143640.0, 9462397.0, 9703943.0, 10193988.0, 10180323.0, 9961114.0, 9439796.0, 10091426.0, 10404728.0, 9830023.0, 9722291.0, 9001809.0, 9354596.0, 10206933.0, 10137488.0, 9213943.0, 9958829]
affascinare	[10433339.0, 10252018.0, 9003595.0]
socio	[10371079.0, 10394333.0, 9612523.0, 10230699, 9169367, 9354834, 10071818, 10400478, 9558740.0, 10285855, 9196792, 10491791, 9831992, 9977684.0, 9229654.0, 9451840.0, 9097792, 9538279, 10393725.0, 9342274.0, 9220476, 9661204.0, 10446360, 10393916, 9802028, 9590253, 9860948.0, 10478446, 9613966, 9111970, 9041522, 9022019, 10131590.0, 9101536, 10184480, 9059507, 9059547, 9692459, 9165596, 9099000.0, 9692475.0, 9718721, 10197329, 9558784, 9380423, 9930806, 9604650, 10399485, 9388993, 9587117, 10394292, 9761315, 9558870, 9608438, 9099731, 9105167.0, 9165438, 9660137.0, 9022519, 9004909.0, 9825614, 9612369, 9910884, 10196929.0, 9614044, 9098998, 9663114, 9165622, 10081814.0, 10254230.0, 10203286.0, 10163255.0, 9137381.0, 10459043.0, 9900069.0, 9683531, 9759804, 10393248.0, 10092131.0, 9031116, 9641047, 10200138.0, 10491732.0, 9220401, 10129315, 9760541, 10203434.0, 9861832.0, 9826810.0, 9098702, 9825021, 9660203, 9354624.0, 9399860, 9004908.0, 9165614, 10088160, 9614116, 10152163, 9388836, 9902285, 9660133.0, 9759803, 10446013, 9614064, 9335939, 9336091, 9802021.0, 9968634]
targa	[9830077, 10203764, 10052120.0, 10404813.0, 10077734, 9192875, 9387402, 10157009, 10184420.0, 10361408, 9773869, 9843439, 9152773.0, 10110463.0, 9461751, 9797075.0, 9590882.0, 10201364, 9722113, 10201372, 9718819, 9122524, 9782606, 10135958, 9152779, 10273642, 9773847, 9192861.0, 9957699, 9809044.0, 9253116.0, 10072409, 10277150.0, 10144275.0, 10406911.0, 10022414, 9828304, 10403133.0, 10244376, 9918863, 9595657.0, 9862833]
aumentare	[9536196.0, 9427998.0, 9520736, 9686043, 9197209, 9656577.0, 10386847, 9020527, 9300998.0, 10015479.0, 9012502.0, 9427980, 9177082, 9644513.0, 10373141.0, 9714016, 9518220.0, 9710638.0, 9428921.0, 9774965.0, 10381010.0, 9686196.0, 10430674, 9463748, 10147947.0, 9714045.0, 10281768.0, 10431486.0, 9525391.0, 9525401.0, 9614143, 10439513]
carriera	[9664330, 9857720, 10392269, 10388988.0, 9982264, 9313742, 9552080.0, 9095220.0, 9708394.0, 10228299.0, 9670654, 9990326, 10045713, 10238729.0, 9773606.0, 9530377.0, 9695681.0, 10337296.0, 9989757, 9049018, 9329301, 9075152, 10416280, 9672531, 10175657, 10375760, 10285260.0, 10432593.0, 10261035.0, 10398464, 9068878, 9990234, 9107877.0, 9192986, 10420946.0, 9136501.0, 9049046, 9967594.0, 9948953, 10328332, 9214013, 9198435, 9548966, 10415245, 9187911, 9365032.0, 10415246, 9656922, 10327327, 10285677.0, 10365222.0, 9130710.0, 10424313.0, 10384619.0, 9169955.0, 9381006, 9811466, 9522490, 10257928, 10086496, 9041910, 9989899.0, 10260799, 9754458.0, 9481111.0, 10261601, 10207688, 9754347, 9999575, 10077095.0, 9404362.0, 9677598.0, 10331097.0, 10057209.0, 9290473, 9141808.0, 9906865, 9456246, 9936797, 9176674, 9936808, 9151500.0, 10375637.0, 10491206.0, 9450672.0, 9577508, 10011678, 9187166.0, 10207585.0, 10045914.0, 9797546, 9730703.0, 10088985, 9967997.0, 9141585, 9750663, 10046513, 10154590, 9697016, 10002181.0, 10411402, 10280553.0, 10257431, 9085434.0, 9982067.0, 9873233.0, 9049266, 9900552, 9983198, 9450240, 9983417, 9314095, 9624099, 9154357, 9269624, 9928751.0, 9177098, 9887491, 10318837.0, 10306869.0, 10085946.0, 9327981.0, 10185284, 10065788.0, 9876445, 9811890.0, 9160349, 9570046, 10099210, 9594547.0, 9581008, 10401945.0, 9469517.0, 9702782, 9684662, 10383251.0, 9276969.0, 9103657.0, 9840077, 10437622.0, 10094242, 9249720, 9378695.0, 10046476, 9920562, 10261739, 9251694, 9171378, 10307407, 10077084.0, 10491644, 9434182, 9522700, 9450848, 10105304, 10085939, 9169158, 9110508, 9168849, 9633780, 10184163, 9607617, 9356882, 9341276, 9665070, 10360815, 9049231, 10300519, 9738495.0, 9364878.0, 10054972, 10497466.0, 9248566.0, 10391865.0, 10289952.0, 10359910, 9211120.0, 10261979, 10398497, 10133504, 10352842.0, 9341294.0, 9450849.0, 9249722, 9214946.0, 9968027.0, 9722413.0, 9951039.0, 9058835.0, 9236650.0, 9215108.0, 9223314.0, 9724035.0, 9490522.0, 9449721, 9177095, 9450241, 10398386, 9037570.0, 9550074, 9305877, 10370146.0, 9341256, 9341273, 9947297, 9341400.0, 10381222.0, 10443600, 10067771, 9371799.0, 9887641, 10110091, 10497468]
tesoro	[10009718.0, 10469962, 10167774, 10000830.0, 9156445.0, 9134940, 9156211.0, 9046970.0, 9156961.0, 10056466.0, 10265263, 9771659.0, 9156755.0, 10276870.0, 9073288.0, 10099627, 9891383, 9891650, 10198268, 9396271.0, 9297621.0, 9159235, 9707086, 9371666, 10080617, 10265409.0, 10206107, 9101463, 9160651.0, 9325758, 9450971, 10061594, 9653564, 9854134, 10045300, 9424453, 9701895.0, 10301182, 9171276, 9472928.0, 10341073, 9889085, 9682933, 9156400.0, 9982805.0, 9331477.0, 9156217.0, 9792951.0, 9156294.0, 9287073.0, 9609067.0, 9396661.0, 9167493.0, 9124362, 9159517.0, 9642565.0, 10336586, 9578210, 9928005.0, 9902497.0, 9046416, 10185395, 9312409, 9135193.0, 9100029, 9702038, 9690571.0, 9096945.0, 9031988, 10265248, 9860457, 10479245, 10226328.0, 9547330.0, 10478985, 9701839, 10105243, 10206072, 10022436.0, 9335078.0, 9287607.0, 9793660, 10198530, 10487369.0, 9647811.0, 10236389, 9007735, 9946264, 10449767, 9335536, 9045029, 9246753, 9578160, 9439501, 9493296.0, 10192188.0, 10034584.0, 9089251.0, 9046975.0, 10112972.0, 9153449.0, 9869679, 9929323, 9220999.0, 10094360.0, 10427031.0, 9410565.0, 10180155.0, 10180678.0, 9257902, 9918830.0, 9591583, 9509267, 9890821, 9574695, 9482151, 9860057, 9677638.0, 9282093, 9845949, 9948702.0, 9391325, 9937543, 9992410, 10376306, 9978348.0, 9789576, 9822407, 9151415, 9148149, 10019333, 9918528.0, 9167572, 9634239, 9891655, 9547335, 9207188, 9067695.0, 9274277, 9101368.0, 9156959.0, 9484829, 9701659, 9945511.0, 9776086, 10084846, 9270203, 9503785.0, 10470295.0, 9633906, 9827726.0, 10487065.0, 10088811, 9628540, 9185454, 10253145, 10183105.0, 9165435, 9888972, 9546671, 10144382, 9636910, 10036477.0, 10178849, 9659045, 9682427, 9719289.0, 9543848, 10044740, 9374877, 9546582, 9286905.0, 10407664.0, 9070036, 9098612, 10252694.0, 10353129, 9133671, 9028378, 9911336, 9207172.0, 9410694, 9830726, 9175927.0, 10158606.0, 10045405.0, 9820003, 10265271.0, 10468221.0, 9032503.0, 10316681, 9156834.0, 9634046, 9290737.0, 9875339, 9103984, 10336152, 9331708, 9419530, 9918661, 9095237, 10167767, 9873766, 9494070, 9691507.0, 10139577, 9444298, 9586604, 9020271, 9493990, 9371412, 10267692, 9890782.0, 9502078, 9109960, 9776301, 9101475.0, 10353609.0, 9991807, 9689296, 10468723, 9073222, 10182005, 10375711, 9982120, 9299348.0, 10259853.0, 10166327, 9915731, 9795208, 9176292, 10064244, 9061003.0, 9641222, 9268378, 9683085, 9877975, 10252693, 9504466, 9258263, 10238991, 10080161, 9270375, 9530314.0, 9098949.0, 10398569, 9985470, 9635030, 9008025, 9982073, 10346251, 9124348, 9496370, 9335366, 10358572, 10349781, 9394419, 9911337, 9391794, 9839804, 10481860, 9209665.0, 9258159, 9286608, 10489348, 9286746, 10390045, 9846419.0, 9290133, 9571359.0, 10423686, 10160029, 9410227, 9819599, 9286749, 10195999, 9101204, 10292618, 10375141, 9715344, 9235519.0, 9857352, 9399706, 9891397, 9153497, 9683561, 9902514, 10198995, 10078239.0, 10213450, 9590168, 9046888.0, 9026494.0, 9978347, 9224995, 9834025, 10407693, 9689998, 9284470, 10195995.0, 9789575, 10259219.0, 9687736, 10108871, 9410208, 9031912, 9262654, 9605957, 9617970, 10191514.0, 9546568, 10447739, 10080905, 10070664, 9822522, 9659089, 10445588, 9890600, 9165416.0, 9000472, 9952668, 9266730, 9156567, 9221620, 9155405, 10336182, 9419139, 10151832, 9493271, 9890826, 9200082, 9098723, 10304584, 10178861, 9985454, 10485237, 9219356, 9729146, 10336550, 9482039, 10010067.0, 10333828.0, 10250942.0, 10301334.0, 9529490, 9009241.0, 9927693.0, 9154123.0, 9264692.0, 10337871, 9551972.0, 9267335.0, 10082727.0, 9276855.0, 9477302.0, 9590285, 10204952.0, 9946021.0, 9158679, 9375615.0, 10407778.0, 10316244.0, 9489251, 9286562, 10445427, 9135427.0, 9981465.0, 10265273.0, 9335064.0, 9417979, 10481432.0, 9286487.0, 9292820.0, 9410397.0, 9554088, 10195776.0, 10337629, 9224576.0, 9276901.0, 9065166.0, 9590916.0, 10195665.0, 9948728.0, 9842311, 9833250, 10200568.0, 9908211.0, 9934237.0, 9818994, 9646552.0, 10214243.0, 9792946.0, 9112181.0, 9634172, 9321050, 9809670.0, 9287646, 9500033, 9270661, 9543578, 10483097, 10031653.0, 10044759.0, 10124458, 10184058.0, 9424233.0, 9630047.0, 9927804, 9409932.0, 9702082, 9902512.0, 9647296, 9190842, 9355351, 9571358, 9392267, 9339410.0, 9828194.0, 9819861, 9591415.0, 9822319, 9176278.0, 9578034.0, 9369046.0, 9921732.0, 10348104, 9529368, 9152390.0, 10445426, 9992342, 9124287, 9466419.0, 9410107.0, 10283560, 9153457.0, 9261255, 9018454, 10230185.0, 9047321.0, 10047989.0, 10088596.0, 10333023, 10108177.0, 9167211.0, 10479403, 10163051.0, 9095908.0, 9690070, 10473468.0, 9602518.0, 9322304.0, 10363683, 9822375, 9463475.0, 9734733, 9874308, 9258296.0, 9457833.0, 9150350.0, 9948696, 9906475.0, 10048195.0, 10161124, 9818989.0, 10387908, 9276875.0, 9941138, 9216913, 10150510, 9978524, 10184351, 9633788, 10016936, 10211213.0, 9314402, 9718169, 10272770, 9591167, 9241317, 9185731, 10336596, 9688612, 9472803.0, 9257724, 10336781, 9035741, 9343213, 9353238, 10150172, 9284029, 10138414, 9335543.0, 9315237, 9777780.0, 9050446, 10417866, 9938126, 9151409, 9302250, 9080482, 9264677.0, 9734676, 9608136.0, 10151827.0, 10018356, 9785897, 10158669, 9809347, 9200388.0, 9286750, 9151246, 9631848, 10409989, 9820028.0, 9067432, 10080123, 10212860, 9388763.0, 9648179.0, 9711277.0, 9870863.0, 10178932, 9659182, 9101012, 9561713, 9101872, 9339357, 9360731, 9422400, 9873794, 9190079.0, 10105894, 9078318, 9918391.0, 9306074, 10267365.0, 9343191, 9066350, 10163045, 9155394.0, 10479234, 9374931, 10039575, 9818956.0, 10238238, 9501651, 9494584, 10464345, 10302250, 9749735, 10068753, 9134587, 9455885, 10323660, 9070656, 9185263, 10408848, 9689769, 9978084, 9463500, 9536080, 10055446, 9635501.0, 10407064, 9452325.0, 9084812.0, 10267878, 10018544, 10400053, 10093912, 9080790.0, 9394059, 10162595.0, 9335330, 9335069, 10047937.0, 9969777.0, 10041177.0, 9410714, 10106010, 10163500.0, 10182565.0, 9501672, 10007133, 10080093.0, 10301412.0, 9972152.0, 9270378, 9336304, 9167495.0, 9152499.0, 9929280, 9157721.0, 10214669, 9577218, 9927360, 10341436, 9641210, 10234910, 9846947, 9947531.0, 10400057, 9399528, 10468477, 9206055.0, 9187473.0, 9778747, 10160320, 9452941, 9891679, 9447835.0, 9472196, 10231448, 9721297, 9343218, 9938501, 9551675, 9139769, 10358592, 9690654, 9681794, 10135766.0, 9207399.0, 9399498, 9767441.0, 9745142, 9546600, 9547339.0, 9491754, 10153567.0, 9287898.0, 10268716.0, 9872545, 9902533, 9322201.0, 9521819, 9608182, 9701862, 9701602, 9588909, 10161037, 9790210, 9541668, 9335794, 9709145, 9946818, 9819002, 9948587, 10138518, 9073265, 9790207, 9200499, 9822367, 10137418, 9078459, 10150171, 10080909, 10470041.0, 10186946, 9417119, 10044767, 9983439, 9155407, 9201362, 10178459]
antichità	[10205744.0, 10093397.0, 9157166.0, 10093376.0, 9051453, 10220879.0, 9048374, 9086317.0]
cristallino	[9756339.0]
motto	[9133975, 10261636.0, 10117099, 10360091.0, 9338413, 9383675, 9301217.0, 9305544.0, 10360118.0, 9729626.0, 9190829.0, 9307105, 10035472, 9137170.0, 9808154.0, 9530304.0, 9153108, 9752679, 9692948.0, 9689831.0]
professionista	[9760523.0, 9385592.0, 9640893.0, 10171375.0, 9833486, 9833832.0, 9924179.0, 9385593.0, 10399481.0, 9387354, 9834067, 9579183, 9168844, 9606274.0, 9132912.0, 10422741.0, 9335306.0, 9687230.0, 10388616, 9551333.0, 9848872, 10222334, 9833477, 9848924, 10394817, 9132917.0, 9528357.0, 10238370, 9766185.0, 10236348, 9687231.0, 9335303, 10393528, 9385601.0, 9565466, 10461696, 10439028.0, 10251340, 9828410, 9350237, 9593882.0, 10197102, 10203286, 10073445.0, 9450180, 10154797, 9505071.0, 10097293, 9565467.0, 10081044, 9533285.0, 9261742.0, 10314563, 9482998, 9876729.0, 9811261, 10222333]
intraprendere	[10373071, 9169003, 9168851, 9605222, 9433783.0, 10221115, 9577508, 9940022.0, 9610208, 10225229, 10455613, 9182810.0]
pallino	[10228390.0, 9420311.0, 10389847.0, 9123835.0]
dibattito	[10303367.0, 10303942.0, 10386928.0, 10383681.0, 9433023.0, 10058995.0, 9159337, 9539236, 10281292, 10487011.0, 9940710, 9556224.0, 10434587.0, 10438469.0, 9433071.0, 9679377.0]
attività	[10094753, 9727871, 9196848.0, 9192923, 10261159, 9664734, 9048973, 10060689, 10427197.0, 9169157, 9776508.0, 9470545, 10116518.0, 9647418, 10258247.0, 10434327.0, 9442294.0, 9833984.0, 9963087, 9155897, 10118500.0, 9069060.0, 9801516.0, 9538794, 10117195.0, 9874093.0, 9274505.0, 9742565, 9357153, 9391588, 9155905, 9154776, 9451155.0, 10353089, 9426100.0, 10115141.0, 9433783.0, 9994390.0, 9616799.0, 9174238.0, 10419762.0, 9312989.0, 9899499.0, 9400782, 9290597.0, 9469913, 10315628.0, 9975500, 9651333.0, 9492225.0, 9060109, 10261375.0, 9849867.0, 9328097.0, 10217858.0, 9538805, 9081832, 10465359, 9755539, 10315531, 9727898, 9980556.0, 10221352.0, 10154294, 9554545, 10258490.0, 9668755.0, 10257858.0, 9706127.0, 9195509, 9889540, 10409108, 9470751.0, 10140096.0, 9604650, 9196278.0, 9470290.0, 10216313, 10480426, 9419713, 10280004, 9828362.0, 9524422.0, 10174624.0, 9612432, 10330968.0, 9434276, 9727584, 9155337, 9741906.0, 10143603.0, 10211253.0, 9001727.0, 10282481.0, 9104728.0, 9730974.0, 9912218.0, 9147810, 10325570, 10326238, 10191073, 10309900, 10260282]
